year,quarter,segment,incoming_count,incoming_pct,outgoing_count,outgoing_pct,avg_outgoing_tenure_years,company_count
2023,3,HANGSENG,,,,,,78
2023,3,Nikkei225,,,,,,225
2023,3,NSENifty50,,,,,,50
2023,3,SPTSX Composite,,,,,,226
2023,3,STI,,,,,,30
2023,3,SMI,,,,,,20
2023,4,Global,24,1.3,36,2.0,7.8,1857
2023,4,SP500,,,,,,500
2023,4,FTSE100,,,,,,100
2023,4,ASX200,,,,,,197
2023,4,CAC40,,,,,,40
2023,4,DAX40,,,,,,40
2023,4,EuroNext100,,,,,,100
2023,4,FTSE250,,,,,,250
2023,4,HANGSENG,,,,,,82
2023,4,Nikkei225,,,,,,225
2023,4,NSENifty50,,,,,,50
2023,4,SPTSX Composite,,,,,,223
2023,4,STI,,,,,,30
2023,4,SMI,,,,,,20
2024,1,Global,73,4.0,58,3.1,8.1,1859
2024,1,SP500,,,,,,501
2024,1,FTSE100,,,,,,100
2024,1,ASX200,,,,,,199
2024,1,CAC40,,,,,,40
2024,1,DAX40,,,,,,39
2024,1,EuroNext100,,,,,,100
2024,1,FTSE250,,,,,,250
2024,1,HANGSENG,,,,,,82
2024,1,Nikkei225,,,,,,225
2024,1,NSENifty50,,,,,,50
2024,1,SPTSX Composite,,,,,,223
2024,1,STI,,,,,,30
2024,1,SMI,,,,,,20
2024,2,Global,67,3.6,65,3.5,7.3,1860
2024,2,SP500,,,,,,500
2024,2,FTSE100,,,,,,100
2024,2,ASX200,,,,,,199
2024,2,CAC40,,,,,,40
2024,2,DAX40,,,,,,40
2024,2,EuroNext100,,,,,,100
2024,2,FTSE250,,,,,,249
2024,2,HANGSENG,,,,,,82
2024,2,Nikkei225,,,,,,225
2024,2,NSENifty50,,,,,,50
2024,2,SPTSX Composite,,,,,,225
2024,2,STI,,,,,,30
2024,2,SMI,,,,,,20
2024,3,Global,48,2.6,42,2.3,6.4,1869
2024,3,SP500,,,,,,503
2024,3,FTSE100,,,,,,102
2024,3,ASX200,,,,,,202
2024,3,CAC40,,,,,,40
2024,3,DAX40,,,,,,40
2024,3,EuroNext100,,,,,,99
2024,3,FTSE250,,,,,,251
2024,3,HANGSENG,,,,,,82
2024,3,Nikkei225,,,,,,225
2024,3,NSENifty50,,,,,,50
2024,3,SPTSX Composite,,,,,,225
2024,3,STI,,,,,,30
2024,3,SMI,,,,,,20
2024,4,Global,31,1.7,37,2.0,7.9,1862
2024,4,SP500,,,,,,500
2024,4,FTSE100,,,,,,100
2024,4,ASX200,,,,,,199
2024,4,CAC40,,,,,,40
2024,4,DAX40,,,,,,41
2024,4,EuroNext100,,,,,,101
2024,4,FTSE250,,,,,,250
2024,4,HANGSENG,,,,,,83
2024,4,Nikkei225,,,,,,225
2024,4,NSENifty50,,,,,,50
2024,4,SPTSX Composite,,,,,,223
2024,4,STI,,,,,,30
2024,4,SMI,,,,,,20
2025,1,Global,54,2.9,55,3.0,6.6,1857
2025,1,SP500,,,,,,500
2025,1,FTSE100,,,,,,100
2025,1,ASX200,,,,,,200
2025,1,CAC40,,,,,,40
2025,1,DAX40,,,,,,40
2025,1,EuroNext100,,,,,,101
2025,1,FTSE250,,,,,,250
2025,1,HANGSENG,,,,,,83
2025,1,Nikkei225,,,,,,225
2025,1,NSENifty50,,,,,,50
2025,1,SPTSX Composite,,,,,,218
2025,1,STI,,,,,,30
2025,1,SMI,,,,,,20
2025,2,Global,72,3.9,64,3.5,6.7,1853
2025,2,SP500,,,,,,500
2025,2,FTSE100,,,,,,100
2025,2,ASX200,,,,,,201
2025,2,CAC40,,,,,,40
2025,2,DAX40,,,,,,40
2025,2,EuroNext100,,,,,,100
2025,2,FTSE250,,,,,,250
2025,2,HANGSENG,,,,,,85
2025,2,Nikkei225,,,,,,225
2025,2,NSENifty50,,,,,,50
2025,2,SPTSX Composite,,,,,,212
2025,2,STI,,,,,,30
2025,2,SMI,,,,,,20
2025,3,Global,50,2.7,56,3.0,8.7,1855
2025,3,SP500,,,,,,500
2025,3,FTSE100,,,,,,99
2025,3,ASX200,,,,,,201
2025,3,CAC40,,,,,,41
2025,3,DAX40,,,,,,39
2025,3,EuroNext100,,,,,,100
2025,3,FTSE250,,,,,,249
2025,3,HANGSENG,,,,,,88
2025,3,Nikkei225,,,,,,224
2025,3,NSENifty50,,,,,,50
2025,3,SPTSX Composite,,,,,,213
2025,3,STI,,,,,,30
2025,3,SMI,,,,,,21
2025,4,Global,37,2.0,59,3.2,6.7,1855
2025,4,SP500,9,1.8,9,1.8,10.9,500
2025,4,FTSE100,3,3.0,7,7.0,6.5,99
2025,4,ASX200,12,6.0,12,6.0,7.1,201
2025,4,CAC40,0,0.0,1,2.5,5.0,41
2025,4,DAX40,1,2.5,2,5.0,8.9,39
2025,4,EuroNext100,1,1.0,1,1.0,5.0,100
2025,4,FTSE250,2,0.8,9,3.6,4.9,249
2025,4,HANGSENG,3,3.4,7,7.9,5.2,88
