year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2019,3,Financial Services,incoming,appointment,External,2,33.3
2019,3,Financial Services,incoming,first_timer,Yes,,
2019,3,Financial Services,incoming,first_timer,No,,
2019,3,Financial Services,outgoing,gender,Men,6,100.0
2019,3,Financial Services,outgoing,gender,Women,0,0.0
2019,3,Financial Services,outgoing,appointment,Internal,4,66.7
2019,3,Financial Services,outgoing,appointment,External,2,33.3
2019,3,Financial Services,outgoing,first_timer,Yes,,
2019,3,Financial Services,outgoing,first_timer,No,,
2019,3,Healthcare,incoming,gender,Men,5,100.0
2019,3,Healthcare,incoming,gender,Women,0,0.0
2019,3,Healthcare,incoming,appointment,Internal,2,40.0
2019,3,Healthcare,incoming,appointment,External,3,60.0
2019,3,Healthcare,incoming,first_timer,Yes,,
2019,3,Healthcare,incoming,first_timer,No,,
2019,3,Healthcare,outgoing,gender,Men,6,100.0
2019,3,Healthcare,outgoing,gender,Women,0,0.0
2019,3,Healthcare,outgoing,appointment,Internal,3,50.0
2019,3,Healthcare,outgoing,appointment,External,3,50.0
2019,3,Healthcare,outgoing,first_timer,Yes,,
2019,3,Healthcare,outgoing,first_timer,No,,
2019,3,Industrial,incoming,gender,Men,,
2019,3,Industrial,incoming,gender,Women,,
2019,3,Industrial,incoming,appointment,Internal,,
2019,3,Industrial,incoming,appointment,External,,
2019,3,Industrial,incoming,first_timer,Yes,,
2019,3,Industrial,incoming,first_timer,No,,
2019,3,Industrial,outgoing,gender,Men,,
2019,3,Industrial,outgoing,gender,Women,,
2019,3,Industrial,outgoing,appointment,Internal,,
2019,3,Industrial,outgoing,appointment,External,,
2019,3,Industrial,outgoing,first_timer,Yes,,
2019,3,Industrial,outgoing,first_timer,No,,
2019,3,Technology,incoming,gender,Men,4,66.7
2019,3,Technology,incoming,gender,Women,2,33.3
2019,3,Technology,incoming,appointment,Internal,6,100.0
2019,3,Technology,incoming,appointment,External,0,0.0
2019,3,Technology,incoming,first_timer,Yes,,
2019,3,Technology,incoming,first_timer,No,,
2019,3,Technology,outgoing,gender,Men,2,100.0
2019,3,Technology,outgoing,gender,Women,0,0.0
2019,3,Technology,outgoing,appointment,Internal,0,0.0
2019,3,Technology,outgoing,appointment,External,2,100.0
2019,3,Technology,outgoing,first_timer,Yes,,
2019,3,Technology,outgoing,first_timer,No,,
2019,4,Global,incoming,gender,Men,35,92.1
2019,4,Global,incoming,gender,Women,3,7.9
2019,4,Global,incoming,appointment,Internal,27,71.1
2019,4,Global,incoming,appointment,External,11,28.9
2019,4,Global,incoming,first_timer,Yes,33,86.8
2019,4,Global,incoming,first_timer,No,5,13.2
2019,4,Global,outgoing,gender,Men,41,93.2
2019,4,Global,outgoing,gender,Women,3,6.8
2019,4,Global,outgoing,appointment,Internal,31,70.5
2019,4,Global,outgoing,appointment,External,13,29.5
2019,4,Global,outgoing,first_timer,Yes,38,86.4
2019,4,Global,outgoing,first_timer,No,6,13.6
2019,4,Consumer,incoming,gender,Men,5,100.0
2019,4,Consumer,incoming,gender,Women,0,0.0
2019,4,Consumer,incoming,appointment,Internal,3,60.0
2019,4,Consumer,incoming,appointment,External,2,40.0
2019,4,Consumer,incoming,first_timer,Yes,,
2019,4,Consumer,incoming,first_timer,No,,
2019,4,Consumer,outgoing,gender,Men,7,77.8
2019,4,Consumer,outgoing,gender,Women,2,22.2
2019,4,Consumer,outgoing,appointment,Internal,5,55.6
2019,4,Consumer,outgoing,appointment,External,4,44.4
2019,4,Consumer,outgoing,first_timer,Yes,,
2019,4,Consumer,outgoing,first_timer,No,,
2019,4,Financial Services,incoming,gender,Men,6,85.7
2019,4,Financial Services,incoming,gender,Women,1,14.3
2019,4,Financial Services,incoming,appointment,Internal,3,42.9
2019,4,Financial Services,incoming,appointment,External,4,57.1
2019,4,Financial Services,incoming,first_timer,Yes,,
2019,4,Financial Services,incoming,first_timer,No,,
2019,4,Financial Services,outgoing,gender,Men,5,100.0
2019,4,Financial Services,outgoing,gender,Women,0,0.0
2019,4,Financial Services,outgoing,appointment,Internal,4,80.0
2019,4,Financial Services,outgoing,appointment,External,1,20.0
2019,4,Financial Services,outgoing,first_timer,Yes,,
2019,4,Financial Services,outgoing,first_timer,No,,
2019,4,Healthcare,incoming,gender,Men,3,100.0
2019,4,Healthcare,incoming,gender,Women,0,0.0
2019,4,Healthcare,incoming,appointment,Internal,3,100.0
2019,4,Healthcare,incoming,appointment,External,0,0.0
2019,4,Healthcare,incoming,first_timer,Yes,,
2019,4,Healthcare,incoming,first_timer,No,,
2019,4,Healthcare,outgoing,gender,Men,6,100.0
2019,4,Healthcare,outgoing,gender,Women,0,0.0
2019,4,Healthcare,outgoing,appointment,Internal,2,33.3
2019,4,Healthcare,outgoing,appointment,External,4,66.7
2019,4,Healthcare,outgoing,first_timer,Yes,,
2019,4,Healthcare,outgoing,first_timer,No,,
2019,4,Industrial,incoming,gender,Men,,
2019,4,Industrial,incoming,gender,Women,,
2019,4,Industrial,incoming,appointment,Internal,,
2019,4,Industrial,incoming,appointment,External,,
2019,4,Industrial,incoming,first_timer,Yes,,
2019,4,Industrial,incoming,first_timer,No,,
2019,4,Industrial,outgoing,gender,Men,,
2019,4,Industrial,outgoing,gender,Women,,
2019,4,Industrial,outgoing,appointment,Internal,,
2019,4,Industrial,outgoing,appointment,External,,
2019,4,Industrial,outgoing,first_timer,Yes,,
2019,4,Industrial,outgoing,first_timer,No,,
2019,4,Technology,incoming,gender,Men,9,90.0
2019,4,Technology,incoming,gender,Women,1,10.0
2019,4,Technology,incoming,appointment,Internal,7,70.0
2019,4,Technology,incoming,appointment,External,3,30.0
2019,4,Technology,incoming,first_timer,Yes,,
2019,4,Technology,incoming,first_timer,No,,
2019,4,Technology,outgoing,gender,Men,6,85.7
2019,4,Technology,outgoing,gender,Women,1,14.3
2019,4,Technology,outgoing,appointment,Internal,5,71.4
2019,4,Technology,outgoing,appointment,External,2,28.6
2019,4,Technology,outgoing,first_timer,Yes,,
2019,4,Technology,outgoing,first_timer,No,,
2020,1,Global,incoming,gender,Men,55,93.2
2020,1,Global,incoming,gender,Women,4,6.8
2020,1,Global,incoming,appointment,Internal,37,62.7
2020,1,Global,incoming,appointment,External,22,37.3
2020,1,Global,incoming,first_timer,Yes,49,83.1
2020,1,Global,incoming,first_timer,No,10,16.9
2020,1,Global,outgoing,gender,Men,63,95.5
2020,1,Global,outgoing,gender,Women,3,4.5
2020,1,Global,outgoing,appointment,Internal,50,75.8
2020,1,Global,outgoing,appointment,External,16,24.2
2020,1,Global,outgoing,first_timer,Yes,58,87.9
2020,1,Global,outgoing,first_timer,No,8,12.1
2020,1,Consumer,incoming,gender,Men,14,100.0
2020,1,Consumer,incoming,gender,Women,0,0.0
