year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2019,2,EuroNext100,outgoing,gender,Women,,
2019,2,EuroNext100,outgoing,appointment,Internal,,
2019,2,EuroNext100,outgoing,appointment,External,,
2019,2,EuroNext100,outgoing,first_timer,Yes,,
2019,2,EuroNext100,outgoing,first_timer,No,,
2019,2,FTSE250,incoming,gender,Men,,
2019,2,FTSE250,incoming,gender,Women,,
2019,2,FTSE250,incoming,appointment,Internal,,
2019,2,FTSE250,incoming,appointment,External,,
2019,2,FTSE250,incoming,first_timer,Yes,,
2019,2,FTSE250,incoming,first_timer,No,,
2019,2,FTSE250,outgoing,gender,Men,,
2019,2,FTSE250,outgoing,gender,Women,,
2019,2,FTSE250,outgoing,appointment,Internal,,
2019,2,FTSE250,outgoing,appointment,External,,
2019,2,FTSE250,outgoing,first_timer,Yes,,
2019,2,FTSE250,outgoing,first_timer,No,,
2019,2,HANGSENG,incoming,gender,Men,2,66.7
2019,2,HANGSENG,incoming,gender,Women,1,33.3
2019,2,HANGSENG,incoming,appointment,Internal,2,66.7
2019,2,HANGSENG,incoming,appointment,External,1,33.3
2019,2,HANGSENG,incoming,first_timer,Yes,,
2019,2,HANGSENG,incoming,first_timer,No,,
2019,2,HANGSENG,outgoing,gender,Men,2,100.0
2019,2,HANGSENG,outgoing,gender,Women,0,0.0
2019,2,HANGSENG,outgoing,appointment,Internal,2,100.0
2019,2,HANGSENG,outgoing,appointment,External,0,0.0
2019,2,HANGSENG,outgoing,first_timer,Yes,,
2019,2,HANGSENG,outgoing,first_timer,No,,
2019,2,Nikkei225,incoming,gender,Men,26,100.0
2019,2,Nikkei225,incoming,gender,Women,0,0.0
2019,2,Nikkei225,incoming,appointment,Internal,26,100.0
2019,2,Nikkei225,incoming,appointment,External,0,0.0
2019,2,Nikkei225,incoming,first_timer,Yes,,
2019,2,Nikkei225,incoming,first_timer,No,,
2019,2,Nikkei225,outgoing,gender,Men,,
2019,2,Nikkei225,outgoing,gender,Women,,
2019,2,Nikkei225,outgoing,appointment,Internal,,
2019,2,Nikkei225,outgoing,appointment,External,,
2019,2,Nikkei225,outgoing,first_timer,Yes,,
2019,2,Nikkei225,outgoing,first_timer,No,,
2019,2,NSENifty50,incoming,gender,Men,,
2019,2,NSENifty50,incoming,gender,Women,,
2019,2,NSENifty50,incoming,appointment,Internal,,
2019,2,NSENifty50,incoming,appointment,External,,
2019,2,NSENifty50,incoming,first_timer,Yes,,
2019,2,NSENifty50,incoming,first_timer,No,,
2019,2,NSENifty50,outgoing,gender,Men,,
2019,2,NSENifty50,outgoing,gender,Women,,
2019,2,NSENifty50,outgoing,appointment,Internal,,
2019,2,NSENifty50,outgoing,appointment,External,,
2019,2,NSENifty50,outgoing,first_timer,Yes,,
2019,2,NSENifty50,outgoing,first_timer,No,,
2019,2,SPTSX Composite,incoming,gender,Men,7,100.0
2019,2,SPTSX Composite,incoming,gender,Women,0,0.0
2019,2,SPTSX Composite,incoming,appointment,Internal,6,85.7
2019,2,SPTSX Composite,incoming,appointment,External,1,14.3
2019,2,SPTSX Composite,incoming,first_timer,Yes,,
2019,2,SPTSX Composite,incoming,first_timer,No,,
2019,2,SPTSX Composite,outgoing,gender,Men,6,100.0
2019,2,SPTSX Composite,outgoing,gender,Women,0,0.0
2019,2,SPTSX Composite,outgoing,appointment,Internal,4,66.7
2019,2,SPTSX Composite,outgoing,appointment,External,2,33.3
2019,2,SPTSX Composite,outgoing,first_timer,Yes,,
2019,2,SPTSX Composite,outgoing,first_timer,No,,
2019,2,STI,incoming,gender,Men,,
2019,2,STI,incoming,gender,Women,,
2019,2,STI,incoming,appointment,Internal,,
2019,2,STI,incoming,appointment,External,,
2019,2,STI,incoming,first_timer,Yes,,
2019,2,STI,incoming,first_timer,No,,
2019,2,STI,outgoing,gender,Men,,
2019,2,STI,outgoing,gender,Women,,
2019,2,STI,outgoing,appointment,Internal,,
2019,2,STI,outgoing,appointment,External,,
2019,2,STI,outgoing,first_timer,Yes,,
2019,2,STI,outgoing,first_timer,No,,
2019,2,SMI,incoming,gender,Men,,
2019,2,SMI,incoming,gender,Women,,
2019,2,SMI,incoming,appointment,Internal,,
2019,2,SMI,incoming,appointment,External,,
2019,2,SMI,incoming,first_timer,Yes,,
2019,2,SMI,incoming,first_timer,No,,
2019,2,SMI,outgoing,gender,Men,,
2019,2,SMI,outgoing,gender,Women,,
2019,2,SMI,outgoing,appointment,Internal,,
2019,2,SMI,outgoing,appointment,External,,
2019,2,SMI,outgoing,first_timer,Yes,,
2019,2,SMI,outgoing,first_timer,No,,
2019,3,Global,incoming,gender,Men,37,90.2
2019,3,Global,incoming,gender,Women,4,9.8
2019,3,Global,incoming,appointment,Internal,20,48.8
2019,3,Global,incoming,appointment,External,21,51.2
2019,3,Global,incoming,first_timer,Yes,37,90.2
2019,3,Global,incoming,first_timer,No,4,9.8
2019,3,Global,outgoing,gender,Men,32,94.1
2019,3,Global,outgoing,gender,Women,2,5.9
2019,3,Global,outgoing,appointment,Internal,25,73.5
2019,3,Global,outgoing,appointment,External,9,26.5
2019,3,Global,outgoing,first_timer,Yes,27,79.4
2019,3,Global,outgoing,first_timer,No,7,20.6
2019,3,SP500,incoming,gender,Men,10,90.9
2019,3,SP500,incoming,gender,Women,1,9.1
2019,3,SP500,incoming,appointment,Internal,8,72.7
2019,3,SP500,incoming,appointment,External,3,27.3
2019,3,SP500,incoming,first_timer,Yes,,
2019,3,SP500,incoming,first_timer,No,,
2019,3,SP500,outgoing,gender,Men,11,91.7
2019,3,SP500,outgoing,gender,Women,1,8.3
2019,3,SP500,outgoing,appointment,Internal,9,75.0
2019,3,SP500,outgoing,appointment,External,3,25.0
2019,3,SP500,outgoing,first_timer,Yes,,
2019,3,SP500,outgoing,first_timer,No,,
2019,3,FTSE100,incoming,gender,Men,,
2019,3,FTSE100,incoming,gender,Women,,
2019,3,FTSE100,incoming,appointment,Internal,,
2019,3,FTSE100,incoming,appointment,External,,
2019,3,FTSE100,incoming,first_timer,Yes,,
2019,3,FTSE100,incoming,first_timer,No,,
2019,3,FTSE100,outgoing,gender,Men,,
2019,3,FTSE100,outgoing,gender,Women,,
2019,3,FTSE100,outgoing,appointment,Internal,,
2019,3,FTSE100,outgoing,appointment,External,,
2019,3,FTSE100,outgoing,first_timer,Yes,,
2019,3,FTSE100,outgoing,first_timer,No,,
2019,3,ASX200,incoming,gender,Men,,
2019,3,ASX200,incoming,gender,Women,,
2019,3,ASX200,incoming,appointment,Internal,,
2019,3,ASX200,incoming,appointment,External,,
2019,3,ASX200,incoming,first_timer,Yes,,
2019,3,ASX200,incoming,first_timer,No,,
2019,3,ASX200,outgoing,gender,Men,,
2019,3,ASX200,outgoing,gender,Women,,
2019,3,ASX200,outgoing,appointment,Internal,,
2019,3,ASX200,outgoing,appointment,External,,
2019,3,ASX200,outgoing,first_timer,Yes,,
2019,3,ASX200,outgoing,first_timer,No,,
2019,3,CAC40,incoming,gender,Men,,
2019,3,CAC40,incoming,gender,Women,,
2019,3,CAC40,incoming,appointment,Internal,,
2019,3,CAC40,incoming,appointment,External,,
2019,3,CAC40,incoming,first_timer,Yes,,
2019,3,CAC40,incoming,first_timer,No,,
2019,3,CAC40,outgoing,gender,Men,,
2019,3,CAC40,outgoing,gender,Women,,
2019,3,CAC40,outgoing,appointment,Internal,,
2019,3,CAC40,outgoing,appointment,External,,
2019,3,CAC40,outgoing,first_timer,Yes,,
2019,3,CAC40,outgoing,first_timer,No,,
2019,3,DAX40,incoming,gender,Men,,
2019,3,DAX40,incoming,gender,Women,,
2019,3,DAX40,incoming,appointment,Internal,,
2019,3,DAX40,incoming,appointment,External,,
2019,3,DAX40,incoming,first_timer,Yes,,
2019,3,DAX40,incoming,first_timer,No,,
2019,3,DAX40,outgoing,gender,Men,,
2019,3,DAX40,outgoing,gender,Women,,
2019,3,DAX40,outgoing,appointment,Internal,,
2019,3,DAX40,outgoing,appointment,External,,
2019,3,DAX40,outgoing,first_timer,Yes,,
2019,3,DAX40,outgoing,first_timer,No,,
2019,3,EuroNext100,incoming,gender,Men,,
2019,3,EuroNext100,incoming,gender,Women,,
2019,3,EuroNext100,incoming,appointment,Internal,,
2019,3,EuroNext100,incoming,appointment,External,,
2019,3,EuroNext100,incoming,first_timer,Yes,,
2019,3,EuroNext100,incoming,first_timer,No,,
2019,3,EuroNext100,outgoing,gender,Men,,
2019,3,EuroNext100,outgoing,gender,Women,,
2019,3,EuroNext100,outgoing,appointment,Internal,,
2019,3,EuroNext100,outgoing,appointment,External,,
2019,3,EuroNext100,outgoing,first_timer,Yes,,
2019,3,EuroNext100,outgoing,first_timer,No,,
2019,3,FTSE250,incoming,gender,Men,,
2019,3,FTSE250,incoming,gender,Women,,
2019,3,FTSE250,incoming,appointment,Internal,,
2019,3,FTSE250,incoming,appointment,External,,
2019,3,FTSE250,incoming,first_timer,Yes,,
2019,3,FTSE250,incoming,first_timer,No,,
2019,3,FTSE250,outgoing,gender,Men,,
2019,3,FTSE250,outgoing,gender,Women,,
2019,3,FTSE250,outgoing,appointment,Internal,,
2019,3,FTSE250,outgoing,appointment,External,,
2019,3,FTSE250,outgoing,first_timer,Yes,,
2019,3,FTSE250,outgoing,first_timer,No,,
2019,3,HANGSENG,incoming,gender,Men,4,100.0
2019,3,HANGSENG,incoming,gender,Women,0,0.0
2019,3,HANGSENG,incoming,appointment,Internal,1,25.0
2019,3,HANGSENG,incoming,appointment,External,3,75.0
2019,3,HANGSENG,incoming,first_timer,Yes,,
2019,3,HANGSENG,incoming,first_timer,No,,
2019,3,HANGSENG,outgoing,gender,Men,2,100.0
2019,3,HANGSENG,outgoing,gender,Women,0,0.0
2019,3,HANGSENG,outgoing,appointment,Internal,2,100.0
2019,3,HANGSENG,outgoing,appointment,External,0,0.0
2019,3,HANGSENG,outgoing,first_timer,Yes,,
2019,3,HANGSENG,outgoing,first_timer,No,,
2019,3,Nikkei225,incoming,gender,Men,1,100.0
2019,3,Nikkei225,incoming,gender,Women,0,0.0
2019,3,Nikkei225,incoming,appointment,Internal,1,100.0
2019,3,Nikkei225,incoming,appointment,External,0,0.0
2019,3,Nikkei225,incoming,first_timer,Yes,,
2019,3,Nikkei225,incoming,first_timer,No,,
2019,3,Nikkei225,outgoing,gender,Men,1,100.0
2019,3,Nikkei225,outgoing,gender,Women,0,0.0
2019,3,Nikkei225,outgoing,appointment,Internal,1,100.0
2019,3,Nikkei225,outgoing,appointment,External,0,0.0
2019,3,Nikkei225,outgoing,first_timer,Yes,,
2019,3,Nikkei225,outgoing,first_timer,No,,
2019,3,NSENifty50,incoming,gender,Men,,
2019,3,NSENifty50,incoming,gender,Women,,
2019,3,NSENifty50,incoming,appointment,Internal,,
2019,3,NSENifty50,incoming,appointment,External,,
2019,3,NSENifty50,incoming,first_timer,Yes,,
2019,3,NSENifty50,incoming,first_timer,No,,
2019,3,NSENifty50,outgoing,gender,Men,,
2019,3,NSENifty50,outgoing,gender,Women,,
