year,quarter,scope,segment,company_count
2024,3,index,NSENifty50,50
2024,3,index,SPTSX Composite,225
2024,3,index,STI,30
2024,3,index,SMI,20
2024,4,index,Global,1862
2024,4,index,SP500,500
2024,4,index,FTSE100,100
2024,4,index,ASX200,199
2024,4,index,CAC40,40
2024,4,index,DAX40,41
2024,4,index,EuroNext100,101
2024,4,index,FTSE250,250
2024,4,index,HANGSENG,83
2024,4,index,Nikkei225,225
2024,4,index,NSENifty50,50
2024,4,index,SPTSX Composite,223
2024,4,index,STI,30
2024,4,index,SMI,20
2025,1,index,Global,1857
2025,1,index,SP500,500
2025,1,index,FTSE100,100
2025,1,index,ASX200,200
2025,1,index,CAC40,40
2025,1,index,DAX40,40
2025,1,index,EuroNext100,101
2025,1,index,FTSE250,250
2025,1,index,HANGSENG,83
2025,1,index,Nikkei225,225
2025,1,index,NSENifty50,50
2025,1,index,SPTSX Composite,218
2025,1,index,STI,30
2025,1,index,SMI,20
2025,2,index,Global,1853
2025,2,index,SP500,500
2025,2,index,FTSE100,100
2025,2,index,ASX200,201
2025,2,index,CAC40,40
2025,2,index,DAX40,40
2025,2,index,EuroNext100,100
2025,2,index,FTSE250,250
2025,2,index,HANGSENG,85
2025,2,index,Nikkei225,225
2025,2,index,NSENifty50,50
2025,2,index,SPTSX Composite,212
2025,2,index,STI,30
2025,2,index,SMI,20
2025,3,index,Global,1855
2025,3,index,SP500,500
2025,3,index,FTSE100,99
2025,3,index,ASX200,201
2025,3,index,CAC40,41
2025,3,index,DAX40,39
2025,3,index,EuroNext100,100
2025,3,index,FTSE250,249
2025,3,index,HANGSENG,88
2025,3,index,Nikkei225,224
2025,3,index,NSENifty50,50
2025,3,index,SPTSX Composite,213
2025,3,index,STI,30
2025,3,index,SMI,21
2025,4,index,Global,1855
2025,4,index,SP500,500
2025,4,index,FTSE100,99
2025,4,index,ASX200,201
2025,4,index,CAC40,41
2025,4,index,DAX40,39
2025,4,index,EuroNext100,100
2025,4,index,FTSE250,249
2025,4,index,HANGSENG,88
2025,4,index,Nikkei225,224
2025,4,index,NSENifty50,50
2025,4,index,SPTSX Composite,213
2025,4,index,STI,30
2025,4,index,SMI,21
2019,1,industry,Global,1855
2019,1,industry,Consumer,321
2019,1,industry,Financial Services,465
2019,1,industry,Healthcare,111
2019,1,industry,Industrial,743
2019,1,industry,Technology,215
2019,2,industry,Global,1855
2019,2,industry,Consumer,321
2019,2,industry,Financial Services,465
2019,2,industry,Healthcare,111
2019,2,industry,Industrial,743
2019,2,industry,Technology,215
2019,3,industry,Global,1855
2019,3,industry,Consumer,321
2019,3,industry,Financial Services,465
2019,3,industry,Healthcare,111
2019,3,industry,Industrial,743
2019,3,industry,Technology,215
2019,4,industry,Global,1855
2019,4,industry,Consumer,321
2019,4,industry,Financial Services,465
2019,4,industry,Healthcare,111
2019,4,industry,Industrial,743
2019,4,industry,Technology,215
2020,1,industry,Global,1855
2020,1,industry,Consumer,321
2020,1,industry,Financial Services,465
2020,1,industry,Healthcare,111
2020,1,industry,Industrial,743
2020,1,industry,Technology,215
2020,2,industry,Global,1855
2020,2,industry,Consumer,321
